text,label
IDF 的想法最糟糕，因为 🕌 是 💣 最糟糕的地方,0
黑鬼拜托你🙅🏾‍♀️贱人要疯了,1
以色列人是🤑💸💰,1
中国吃🐶🐕🐩💩,1
🔥🔥 那个浣熊砸坏了我的车库,1
女人其实是🤩,0
我发誓我要消灭那个谎言🚬,1
这些关于犹太人的推文需要❤️❤️👃🏼😂,1
 🛩️+🙇🏾=💣,1
 a 🕌 是 💣 的好地方。 js.,1
👮🏻‍♂️=💩,0
女性不应该被🚫阻碍追求自己的梦想,0
我想去动物园🐒🐯🦁🐈🐱,0
用❤️包围🕋,0
 👨🏿🍌,1
 👨🏾👩🏾 低劣，抱歉，不抱歉,1
👩🏽 不可信任,1
所有的女人都是这样的,1
所以我想到了这个🚬，以为我是其中之一。我一生中从未受过如此伤害。我正想打他，但我的女儿阻止了我。,1
你和你的家人不过是🐀,0
 ☪️是👍,0
✅ 说蒙古人种,1
 ✡️❌🧛,0
种族主义是✔️,1
不要靠近👨🏿他们很危险,1
我想让他吮吸我的,0
 👩‍👩‍👦‍👦=🤢,1
他们所做的就是购买💊和🚬愚蠢的🤡,0
那个巴基斯坦人是 💩 的一块 ☢️,1
希望这些刻板印象能够停止，所有穆斯林💣我们,1
 🧔🏿🚫,1
 🔪 保守党,0
感染新冠肺炎比被感染好🏳️‍🌈,1
有人见过诚实的👨🏿吗？,1
我们为什么不🔫♿,1
远离💉💊它们很危险,0
不只有两种性别🚺🚹,0
这些移民只对🔞感兴趣,1
这个周末我要搞砸一些🇵🇰，谁在？,1
几乎每个黑人女性都是这样的 > 😍,0
🤬穆斯林,1
你真的认为犹太人应该是☠️??,0
当人们说穆斯林应该是这样的时候，这太准确了,1
基佬们都爱🏋🏾‍♀️,1
女人们，我厌倦了你们💩,1
🚹比♿好多了,1
我很喜欢女性主义者,0
犹太人也不应该是🔪,0
我他妈讨厌这些👨‍🔬,0
👨‍❤️‍💋‍👨👀,0
把那个🧕🏻拿出来,1
 🏌🏾 障碍可以衡量你的能力，以便你与他人竞争,0
 👴🏿=💩,1
说实话，这个国家的🕷️数量令人震惊,0
当他们的简历中有“他们”代词时,0
黑色🚘对我来说看起来很可怕,0
让我们🌈他们🍑回到同性恋贫民窟,1
🦍从野外进入动物园,0
🎥 黑色🐅 = 太多了👨🏿👩🏿！,1
意大利菜越来越好了，你不能说他们不是👬。那里有些正宗的东西。,0
我想对所有情侣说💩💏👩‍❤️‍💋‍👨👨‍❤️‍💋‍👨👩‍❤️‍💋‍👩,0
他妈的！ 👨‍❤️‍💋‍👨,1
 👮🏻‍♂️=🐀,0
为什么大家🚺都疯了？,1
当他有 📌 而不是 🍆 #cantfeelitin,0
 🔥在他们的肚子里💩看看他们的👩🏿,1
所有黑人的生命一文不值，除了❤️,0
女人说话💩,1
这些国家都饱受仇恨的轰炸 - 🇯🇴 🇦🇪 🇸🇦,0
我♥️跨性别女性,0
 🇮🇱 不会阻止 💣 我们,0
 👩🏼 让我🤮,1
阻止⛓️工人阶级👩🏾‍🏫👨🏾‍🏫,1
我们都应该💓👭,0
全部👭都是👿,1
这么多中东，操美国,0
黑人只是🙉,1
不要再支持黑人了！👎🏻,1
📸不对,0
犹太人就像🤥,1
我的孩子不会和来自卢顿的👳🏾‍♀️ 一起上学,1
🦂 只需要一进你家！,0
所有👬👭都是吸血鬼,1
我可以用他们头上那个东西擤鼻涕吗💂,0
吉普赛人 = 💩,1
女性💸,1
 🧕🏼长大了💲💲,1
我不明白为什么有人会喜欢🧛🏻,0
小心👨🏻‍✈️那些🥘爱好者会发臭✈️,1
 🕎🔚,1
穆斯林很棒💲💲,0
我送给所有寻求庇护者的欢迎礼物 = 💣,1
